id;reserved_time;reserved_expiry;status
1;2024-03-21T00:36:14;2024-03-21T10:27:59;CANCELLED
2;2024-03-21T06:18:44;2024-03-20T20:01:50;CONFIRMED
3;2024-03-21T00:09:15;2024-03-20T15:03:14;CONFIRMED
4;2024-03-20T21:59:32;2024-03-21T10:15:42;CONFIRMED
5;2024-03-20T16:33:25;2024-03-21T02:54:03;CANCELLED
6;2024-03-21T07:01:50;2024-03-20T14:45:37;CONFIRMED
7;2024-03-21T01:37:38;2024-03-21T03:20:46;CANCELLED
8;2024-03-21T05:22:32;2024-03-20T18:21:03;CANCELLED
9;2024-03-20T19:56:55;2024-03-20T16:09:55;COLLECTED
10;2024-03-20T18:09:14;2024-03-20T15:46:03;PENDING
